x,y,color
141.23109993899666,-11.472582761534552,o
141.54685207516098,-10.164777023894287,o
138.3155401783316,-10.765821640652282,o
138.60499632362564,-9.576997526839227,o
139.43684219869823,-16.75542943368582,b
136.15715466177244,-23.324365335919804,b
131.95622750387,-29.608834657942957,b
127.07023268277213,-35.33402216276297,b
121.68907322201895,-40.288638601727826,b
115.88219029804954,-44.46752542027393,b
109.69553493784272,-47.90801800920414,b
103.17466953712665,-50.65014897585348,b
96.36369335430149,-52.73601330825043,b
89.30484240082599,-54.20881096638173,b
82.03864990859084,-55.11199866362857,b
74.604379676562,-55.48874856757719,b
67.04049171933568,-55.38170401119393,b
59.38501848276841,-54.832935051772495,b
51.67582276067128,-53.8839965520141,b
43.95075397231197,-52.57602282959772,b
36.247731943584455,-50.94982366227507,b
28.604784542245568,-49.045966891696466,b
21.060058393857766,-46.904843877447135,b
13.651815186626376,-44.566718967943565,b
6.418420407887849,-42.071766269661325,b
-0.6124749539720475,-39.46397561596404,b
-7.46085285839596,-36.79716359436089,b
-14.160988642098909,-34.12568939122456,b
-20.747171464475876,-31.503602761592177,b
-27.253661064597413,-28.984596934124973,b
-33.714710088679965,-26.621949396600506,b
-40.16464509762909,-24.46846320789931,b
-46.638015574849824,-22.576427215319196,b
-53.169806431322115,-20.997628494776546,b
-59.795682291325136,-19.783459357102863,b
-66.55219475045021,-18.985151168954825,b
-73.4768555095128,-18.65412639871751,b
-80.60798998303535,-18.842394978496106,b
-87.98435732797057,-19.602867434313755,b
-95.64463623042904,-20.98942333081701,b
-103.60641049993349,-22.99873046471536,b
-111.75962160321417,-25.44087566625639,b
-119.9529909366279,-28.084560406090105,b
-128.04033963892653,-30.697321922578766,b
-135.88065547664218,-33.046147029730484,b
-143.33971778088733,-34.896768387926066,b
-150.293844744138,-36.010253534707466,b
-156.63421507945134,-36.13183834024658,b
-162.25413579500307,-34.96387174733344,b
-166.96167481541434,-32.16102667368081,b
-170.40619033602383,-27.560688764249154,b
-172.49224898472733,-21.556861461290957,b
-173.39318633019403,-14.526402853905712,b
-173.2265645433378,-6.785846692755824,b
-172.0714317119176,1.3423802513893197,b
-169.9911297302435,9.526490629784305,b
-167.0409154613438,17.42958295831814,b
-163.2684823198676,24.712557215120064,b
-158.71320367936246,31.03811351816367,b
-153.45228047361556,36.23314279989515,b
-147.58504963473217,40.37019610803538,b
-141.20934482553966,43.553562842094195,b
-134.41790097470812,45.897368698830135,b
-127.29558287743944,47.51994610030268,b
-119.92115751320492,48.53926028073331,b
-112.37023341260395,49.0710380956452,b
-104.71746250166971,49.228661485738826,b
-97.03775870810554,49.123679322902,b
-89.40687932745631,48.86634067045287,b
-81.90171728079044,48.565948239538976,b
-74.59968948034313,48.33052363334563,b
-67.52367757752612,48.223698317546265,b
-60.63223042088874,48.23055676144276,b
-53.88520821929359,48.32813933411394,b
-47.24257316501003,48.49348543910586,b
-40.66442793075517,48.703608792560814,b
-34.11104533392298,48.93547531169537,b
-27.5428864975455,49.165987946863005,b
-20.920606045326828,49.37198151296626,b
-14.205044017795302,49.53022852354182,b
-7.357205276407484,49.617454736332576,b
-0.33822823498797366,49.61036117777659,b
6.890654182968893,49.48564831194543,b
14.368157573207986,49.22003799400154,b
